GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
courseMaintenance,jyothi.springboot.Topic,Topic,24,12,0,0,5,1,7,1,7,1
courseMaintenance,jyothi.springboot.Topic,CourseMaintenance,27,0,0,0,7,0,3,0,3,0
courseMaintenance,jyothi.springboot.Topic,TopicController,104,0,0,0,27,0,9,0,9,0
courseMaintenance,jyothi.springboot.Topic,TopicFilter.new HandlerExceptionResolver() {...},8,0,0,0,2,0,2,0,2,0
courseMaintenance,jyothi.springboot.Topic,TopicFilter,35,0,4,0,9,0,4,0,2,0
courseMaintenance,jyothi.springboot.Topic,ExceptionHandlerExample,45,0,0,0,11,0,2,0,2,0
courseMaintenance,jyothi.springboot.Topic,ErrorMessageEntity,46,0,0,0,7,0,10,0,10,0
courseMaintenance,jyothi.springboot.Topic,interceptorRegistry,9,0,0,0,3,0,2,0,2,0
courseMaintenance,jyothi.springboot.Topic,InterceptorExample,45,0,0,0,10,0,4,0,4,0
courseMaintenance,jyothi.springboot.Topic,TopicService,140,0,0,0,27,0,7,0,7,0
courseMaintenance,jyothi.springboot.Topic,Tutor,26,0,0,0,5,0,6,0,6,0
courseMaintenance,jyothi.springboot.Topic,RequestbodyadviceExample,65,0,0,0,16,0,5,0,5,0
courseMaintenance,jyothi.springboot.Topic,MyDefinedException,4,0,0,0,2,0,1,0,1,0
